CASE,SERIAL,REF,QUESTNNR,MODE,LANGUAGE,STARTED,AT02_01,AT02_02,AT02_03,AT02_04,AT02_05,AT02_06,AT02_07,AT02_08,AT02_09,AT02_10,AT02_11,AT02_12,AT02_13,AT02_14,AT02_15,AT02_16,AT02_17,AT02_18,AT02_19,AT02_20,AT02_21,AT02_22,AT02_23,AT02_24,AT02_25,AT02_26,AT02_27,AT02_28,AT02_29,AT02_30,AT02_31,AT02_32,AT02_33,AT02_34,AT02_35,AT02_36,AT02_37,AT02_38,AT02_39,AT02_40,AT02_41,AT02_42,AT02_43,AT02_44,AT02_45,AT02_46,AT02_47,MC04,MN01_01,OM01,OM01_05,OM02,OM02_07,OM04_01,OM05_01,OM06_01,OM07_01,OM08_01,OM11,OM11_01,OM11_02,OM11_03,OM11_04,OM11_05,OM11_06,OM11_07,OM11_08,OM11_09,OM11_11,OM11_10,OM11_10a,RG01,RG04,RG03_01,RG05,RS01_01,SD01_08,SD02,SD03,SD04,SD04_07,SD05,SD06_01,SD07_01,SD08,SD08_03,SD09,SD09_04,SD10,SD11,SD13,SD13_02,SD15,SE01_13,SE01_10,SE01_01,SE01_07,SE01_12,SE01_15,SE01_09,SE01_17,SE01_08,SE01_14,SE01_18,SE01_16,SE01_03,SE01_05,SE01_04,SE01_11,SE01_06,SE01_02,WC03,TIME001,TIME002,TIME003,TIME004,TIME005,TIME006,TIME007,TIME008,TIME009,TIME_SUM,MAILSENT,LASTDATA,STATUS,FINISHED,Q_VIEWER,LASTPAGE,MAXPAGE,MISSING,MISSREL,TIME_RSI
320,,,base,interview,eng,2025-06-06 22:09:21,4.0,3.0,4.0,6.0,2.0,4.0,3.0,2.0,3.0,3.0,3.0,4.0,3.0,6.0,3.0,4.0,4.0,5.0,3.0,5.0,4.0,4.0,3.0,3.0,4.0,3.0,3.0,3.0,3.0,4.0,3.0,3.0,5.0,3.0,3.0,3.0,3.0,4.0,3.0,4.0,2.0,3.0,3.0,3.0,3.0,1.0,6.0,1.0,,3.0,,2.0,,It could help students have more fun and get more individualized attention ,Eliminating human element and creating more work for reachers,Potential benefits + the scifi aesthetic,Fear of negative impacts would not be worth positive impacts,No,5.0,1.0,2.0,1.0,2.0,1.0,2.0,2.0,1.0,2.0,1.0,1.0,,2.0,2.0,,2.0,1.0,25.0,2.0,2.0,4.0,,2.0,,,-9.0,,-9.0,,4.0,4.0,3.0,,-9.0,3.0,2.0,2.0,2.0,1.0,1.0,4.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1,6,58.0,7.0,18.0,115.0,122.0,268.0,31.0,3.0,628,,2025-06-06 22:19:49,,1,0,9,9,7,4,2.17
329,,,base,interview,ger,2025-06-07 11:33:35,4.0,3.0,3.0,6.0,3.0,4.0,1.0,1.0,3.0,3.0,2.0,4.0,2.0,6.0,1.0,5.0,5.0,3.0,1.0,1.0,4.0,6.0,2.0,5.0,2.0,4.0,5.0,2.0,1.0,2.0,2.0,3.0,6.0,1.0,5.0,1.0,2.0,2.0,2.0,1.0,2.0,1.0,1.0,2.0,2.0,1.0,6.0,1.0,,1.0,,1.0,,Kann wahrscheinlich genau zurückgeben ob die Töne getroffen wurden,"Weniger menschliche Interaktionen, gerade beim erlernen von etwas ist die zwischenmenschliche Bindung sehr wichtig",Könnte der Lehrkraft Arbeit abnehmen,,,7.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,,1.0,2.0,,2.0,1.0,24.0,1.0,2.0,5.0,,1.0,4.0,12.0,1.0,,3.0,,4.0,4.0,3.0,,-9.0,3.0,1.0,1.0,4.0,2.0,1.0,4.0,2.0,1.0,5.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1,23,102.0,19.0,11.0,231.0,128.0,198.0,77.0,9.0,798,,2025-06-07 11:46:53,,1,0,9,9,4,1,1.31
331,,,base,interview,ger,2025-06-07 12:04:07,3.0,2.0,3.0,5.0,1.0,6.0,1.0,1.0,1.0,3.0,4.0,2.0,4.0,6.0,1.0,2.0,6.0,3.0,1.0,4.0,4.0,3.0,4.0,4.0,5.0,1.0,1.0,6.0,1.0,3.0,1.0,4.0,3.0,1.0,4.0,2.0,3.0,3.0,2.0,2.0,4.0,1.0,2.0,3.0,5.0,1.0,6.0,1.0,434665,3.0,,2.0,,"Roboter können auf sehr viel Wissen zugreifen.
Die Lehrkraft hätte mehr Zeit für andere Dinge bzw es würden weniger Musiklehrer benötigt werden.
Roboter könnten sehr flexible Lernpläne erlauben.
Es wäre leichter genormte Bildung / neutrale bewertung zu ermöglichen","Ggf hohe anschaffungs kosten
Lehrkräfte benötigen technisches Wissen
Kinder benötigen Einführung
Kinder ggf unbeaufsichtigt
Es fehlt die zwischenmenschliche soziale Komponente",siehe Vorteile,siehe Nachteile,,6.0,2.0,2.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,1.0,1.0,,1.0,1.0,staubsaugerroboter,1.0,1.0,22.0,2.0,2.0,3.0,,2.0,,,-9.0,,-9.0,,4.0,4.0,3.0,,-9.0,5.0,5.0,5.0,5.0,5.0,4.0,6.0,4.0,6.0,5.0,5.0,4.0,5.0,4.0,5.0,3.0,5.0,5.0,1,14,176.0,36.0,12.0,273.0,191.0,398.0,34.0,22.0,1156,,2025-06-07 12:23:23,,1,0,9,9,6,4,1.12
332,,,base,interview,ger,2025-06-07 12:06:04,3.0,5.0,3.0,6.0,1.0,4.0,1.0,3.0,6.0,4.0,3.0,3.0,2.0,5.0,4.0,4.0,4.0,2.0,4.0,6.0,4.0,6.0,2.0,3.0,5.0,4.0,3.0,2.0,4.0,3.0,1.0,6.0,5.0,4.0,5.0,2.0,4.0,3.0,3.0,4.0,4.0,2.0,2.0,4.0,4.0,1.0,6.0,1.0,,2.0,,3.0,,"Einüben von falschen Praktiken zuhause verhindern, regelmäßiges üben unterstützen, Pausen in und zwischen Unterrichtsstunden überbrücken","Gehör- und Selbstorganisation sind wichtige fähigkeiten, die nicht ausgelagert werden sollten, die sozialen Bedürfnisse eines Kindes sollten nicht Schwerpunkthaft über einen Roboter gedeckt werden, Datenschutz und Sicherheit muss vor allem auch im Einsatz zuhause gewährleistet sein","Fehlende pädagogische Kompetenzen einer Lehrkraft ausgleichen, weniger Druck / positive Emotionen mit der Musik verbinden",Funktionierende soziale Lösungen sollten nicht durch einen Roboter ersetzt werden,"Bitte definiert am Anfang Roboter. Das Wort ist einfach zu unscharf. Außerdem muss man zu viele ähnliche fragen beantworten, das frustriert mich relativ schnell",6.0,2.0,2.0,1.0,2.0,1.0,1.0,2.0,2.0,2.0,1.0,1.0,,1.0,1.0,"Lego Robotik, zählen eigentlich so Wasch- und Spülmaschinen auch?",1.0,1.0,26.0,1.0,2.0,5.0,,1.0,6.0,12.0,1.0,,1.0,,4.0,4.0,3.0,,-9.0,5.0,1.0,3.0,2.0,5.0,3.0,4.0,4.0,4.0,4.0,4.0,5.0,4.0,4.0,3.0,2.0,3.0,5.0,1,54,516.0,325.0,58.0,405.0,353.0,761.0,115.0,4.0,1897,,2025-06-07 12:49:15,,1,0,9,9,2,0,0.66
335,,,base,interview,ger,2025-06-07 12:35:52,6.0,2.0,6.0,6.0,4.0,6.0,1.0,1.0,1.0,1.0,4.0,1.0,3.0,6.0,1.0,5.0,6.0,3.0,1.0,6.0,1.0,6.0,4.0,3.0,4.0,4.0,2.0,1.0,3.0,1.0,2.0,3.0,5.0,3.0,4.0,2.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,6.0,1.0,,3.0,,7.0,Mix aus Lehrkraft und Assistent,"Weiß nicht; finde die Thematik schwierig, weil ich es mir nicht allzu gut vorstellen kann bzw die Vorstellung nicht mag",Roboter sammelt Daten und gibt sie weiter; bekommt zu viel Macht - KI lernt aus und entwickelt sich von alleine weiter und evtl ins Negative,Bin nicht daran interessiert,gruselig ,,5.0,1.0,2.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,1.0,1.0,,2.0,2.0,,2.0,1.0,22.0,1.0,2.0,4.0,,1.0,5.0,9.0,1.0,,4.0,"Kindergarten, Musikschule, Gymansium",4.0,4.0,3.0,,-9.0,1.0,3.0,2.0,1.0,3.0,3.0,3.0,1.0,4.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1,15,82.0,7.0,11.0,127.0,109.0,181.0,75.0,6.0,613,,2025-06-07 12:46:05,,1,0,9,9,4,1,1.8
343,,,base,interview,ger,2025-06-07 14:29:39,4.0,6.0,5.0,6.0,6.0,6.0,1.0,4.0,6.0,4.0,1.0,4.0,4.0,3.0,6.0,6.0,6.0,1.0,6.0,5.0,6.0,5.0,3.0,6.0,6.0,4.0,1.0,5.0,3.0,4.0,5.0,6.0,3.0,4.0,3.0,3.0,3.0,4.0,2.0,5.0,1.0,3.0,3.0,2.0,5.0,1.0,6.0,1.0,,1.0,,2.0,,"Arbeitsentlastung der Lehrkraft, Zugang zur Technologie um Neugierde für die eigene Zukunft zu entwickeln, Unterricht kann unabhängig von der Zeit der Lehrkraft erfolgen, ein Roboter der entsprechend programmiert ist, kann die Notenwiedergabe eventuell besser beurteilen als ein Mensch,","Ältere Lehrkäfte könnten sich weigern mit einem Roboter zu arbeiten, die Kosten des Roboters (Anschaffung und Wartung), eventuell Diebstahl des Roboters,","Ich könnte mir vorstellen, dass du den Einsatz des Roboters die Kinder motivierter sind, schließlich dürfen sie mit einem Roboter zusammen arbeiten.",Ich habe keine Gründe.,Nein.,8.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,,2.0,2.0,,2.0,1.0,39.0,1.0,2.0,6.0,,2.0,,,-9.0,,-9.0,,4.0,4.0,3.0,,-9.0,1.0,1.0,1.0,6.0,1.0,1.0,5.0,1.0,1.0,6.0,5.0,3.0,3.0,3.0,1.0,1.0,2.0,1.0,1,24,119.0,8.0,30.0,154.0,136.0,316.0,41.0,9.0,837,,2025-06-07 14:43:36,,1,0,9,9,7,4,1.34
349,,,base,interview,ger,2025-06-07 15:28:43,3.0,5.0,5.0,6.0,4.0,6.0,1.0,1.0,2.0,5.0,5.0,5.0,5.0,6.0,5.0,4.0,6.0,4.0,5.0,4.0,4.0,6.0,4.0,4.0,6.0,2.0,6.0,5.0,1.0,1.0,3.0,5.0,2.0,3.0,5.0,6.0,2.0,4.0,4.0,6.0,4.0,2.0,4.0,4.0,4.0,1.0,6.0,1.0,,3.0,,3.0,,"Eine aufregende Abwechslung für Kinder. Es ist eine neue Erfahrung mit einem Roboter zu interagieren. Der Lernprozess kann besser dokumentiert werden, es kann leichter an Schwächen intensiv gearbeitet werden. Es könnte ein individuelles Lernprogramm, dass sich auf einzelne Schwächen verschiedener Schüler bezieht, schneller und effektiver erarbeitet werden ","Eigentlich sehe ich keine Nachteile darin. Probleme wären evt der Umgang mit einem technischen Gerät, also ob wirklich alle Kinder sich dem bewusst sind, wie der richtige Umgang damit aussieht. Dabei ist es unwichtig ob das Kind böse Absichten hatte oder nicht ","Die oben genannten Vorteile. Zudem denke ich, dass es den ganzen Lernprozess interessanter für Kinder gestaltet. ","Eigentlich finde ich ist das eine gute Idee, dementsprechend fällt mir nichts ein. ",,9.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,,1.0,2.0,,2.0,1.0,22.0,1.0,2.0,4.0,,1.0,8.0,3.0,1.0,,1.0,,4.0,4.0,3.0,,-9.0,5.0,4.0,2.0,4.0,4.0,4.0,5.0,5.0,5.0,4.0,5.0,3.0,4.0,2.0,4.0,3.0,4.0,4.0,1,23,264.0,17.0,66.0,271.0,289.0,803.0,84.0,14.0,1831,,2025-06-07 15:59:14,,1,0,9,9,4,1,0.71
350,,,base,interview,eng,2025-06-07 15:47:03,6.0,2.0,6.0,6.0,4.0,5.0,3.0,5.0,3.0,2.0,5.0,3.0,5.0,6.0,4.0,5.0,6.0,3.0,2.0,3.0,5.0,5.0,4.0,4.0,4.0,5.0,3.0,2.0,4.0,2.0,4.0,4.0,3.0,4.0,4.0,3.0,3.0,2.0,2.0,4.0,2.0,2.0,2.0,3.0,3.0,1.0,6.0,1.0,,1.0,,2.0,,Can make teaching more efficient by giving certain teaching tasks to the robot.,Nothing major. ,Can act like a encyclopedia of sorts and gave information a student may need,Music is subjective and could be hard for a robot to give feedback on it.,Some questions were repeated.,4.0,2.0,2.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,It was a robo vaccum cleaner. It's not a complex robot so it was easy to control and predict their behaviour mostly.,2.0,1.0,25.0,2.0,2.0,4.0,,2.0,,,-9.0,,-9.0,,4.0,4.0,3.0,,-9.0,5.0,5.0,4.0,4.0,3.0,4.0,4.0,5.0,3.0,3.0,4.0,4.0,4.0,4.0,4.0,3.0,4.0,5.0,1,18,122.0,61.0,14.0,216.0,1294.0,213.0,26.0,20.0,860,,2025-06-07 16:20:09,,1,0,9,9,6,3,1.16
353,,,base,interview,ger,2025-06-07 16:09:13,6.0,1.0,6.0,6.0,1.0,1.0,1.0,1.0,6.0,1.0,1.0,1.0,1.0,6.0,1.0,3.0,6.0,6.0,1.0,6.0,3.0,6.0,1.0,6.0,4.0,3.0,4.0,1.0,6.0,1.0,1.0,6.0,4.0,6.0,6.0,1.0,1.0,4.0,1.0,4.0,1.0,3.0,1.0,1.0,1.0,1.0,6.0,1.0,,3.0,,2.0,,"Die Lehrkräfte sparen Zeit. Das ist jedoch kein Vorteil, da gerade beim musizieren meist eine Interaktion zwischen Menschen entsteht. Evtl. Ist der Einsatz sinnvoll wenn es um das professionelle/berufliche erlernen eines Instrumentes geht",Es kann keine menschliche Interaktion geübt werden.,"Technisch einwandfreie Vermittlung von Inhalten , große Präzision bei der fehlererkennung des Schülers ",Fehlende Übung im Umgang mit Menschen ... auch mit doofen Menschen ,Es hat mich verwundert dass die Fragen so häufig wiederholt wurden,6.0,2.0,2.0,1.0,2.0,1.0,2.0,2.0,2.0,1.0,1.0,1.0,,1.0,2.0,,2.0,1.0,60.0,1.0,1.0,1.0,,2.0,,,-9.0,,-9.0,,4.0,4.0,3.0,,1.0,2.0,2.0,1.0,2.0,2.0,1.0,4.0,4.0,4.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,1,64,231.0,22.0,61.0,304.0,235.0,486.0,76.0,14.0,1493,,2025-06-07 16:34:06,,1,0,9,9,6,3,0.68
354,,,base,interview,ger,2025-06-07 16:50:32,6.0,1.0,6.0,5.0,2.0,6.0,1.0,2.0,1.0,2.0,4.0,2.0,4.0,6.0,2.0,6.0,6.0,4.0,2.0,4.0,4.0,5.0,1.0,4.0,5.0,5.0,2.0,3.0,2.0,1.0,1.0,2.0,2.0,4.0,6.0,3.0,4.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,5.0,1.0,6.0,1.0,,3.0,,1.0,,"Fehler können genauer erkannt werden
Viel Wissensvermittlung dadurch, dass die Musikstunde dann nicht zu sehr von der Bildung des Musiklehrers abhängt, sondern viel Wissen beigebracht werden kann","Der soziale Aspekt, dass ein Mensch einem anderen Menschen etwas beibringt fällt weg. Die Kreativität, die Musiker und Musiklehrer besitzen und eigene Erfahrungen, die sie vermitteln können, fallen weg. 
Unterricht kann deutlich mehr sein, als nur Wissensvermittlung und Übun von Instrumenten, was von Robotern mglw. Nicht erfüllt werden können","Beim Üben von technischen Sachen (Töne, Tonleiter lernen und Noten lesen lernen etc.) kann es sehr hilfreich sein","Helfen tendenziell okay, aber komplett übernehmen von Übeprozessen scheint mir mit zu vielen komplexen Faktoren verbunden zu sein, die ein Roboter nicht übernehmen kann
",,8.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,,1.0,2.0,,2.0,1.0,22.0,1.0,2.0,3.0,,1.0,4.0,16.0,1.0,,3.0,,4.0,4.0,2.0,12.0,-9.0,4.0,5.0,6.0,4.0,5.0,5.0,5.0,6.0,4.0,4.0,4.0,3.0,2.0,3.0,5.0,1.0,4.0,5.0,1,6,59.0,18.0,57.0,149.0,136.0,384.0,65.0,3.0,877,,2025-06-07 17:05:09,,1,0,9,9,4,1,1.6
355,,,base,interview,ger,2025-06-07 17:05:50,6.0,6.0,6.0,5.0,6.0,5.0,1.0,6.0,2.0,2.0,5.0,3.0,4.0,4.0,4.0,6.0,6.0,3.0,4.0,3.0,5.0,5.0,2.0,6.0,5.0,6.0,3.0,3.0,4.0,1.0,2.0,1.0,1.0,6.0,6.0,2.0,3.0,1.0,1.0,2.0,1.0,4.0,2.0,1.0,1.0,1.0,6.0,1.0,11705844,3.0,,3.0,,"Individueller für kinder, da jeder anders lernt und verschieden weit ist ",Dass nach einer zeit langweilit werden könnte da der menschliche kontakt doch mehr Bindung bieten kann - auf emotionaler hinsicht,Wenn das kind Schwierigkeiten aufweist,Fehler des roboters oder falschinfo ,Nein,4.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,2.0,2.0,1.0,1.0,,1.0,2.0,,2.0,1.0,25.0,1.0,2.0,4.0,,1.0,15.0,10.0,3.0,Instrument und gesang gleich viel,3.0,,1.0,1.0,2.0,10.0,-9.0,4.0,4.0,4.0,4.0,3.0,3.0,3.0,4.0,3.0,2.0,2.0,3.0,1.0,3.0,3.0,3.0,4.0,3.0,1,9,1456.0,13.0,79.0,177.0,133.0,217.0,93.0,5.0,852,,2025-06-07 17:42:12,,1,0,9,9,2,1,1.22
362,,,base,interview,ger,2025-06-07 20:40:32,4.0,5.0,3.0,5.0,5.0,6.0,1.0,5.0,2.0,3.0,4.0,5.0,5.0,4.0,3.0,5.0,5.0,2.0,5.0,3.0,6.0,3.0,4.0,5.0,4.0,5.0,2.0,5.0,4.0,3.0,4.0,4.0,2.0,4.0,4.0,4.0,3.0,5.0,3.0,4.0,3.0,3.0,4.0,4.0,5.0,1.0,6.0,1.0,407105 ,3.0,,2.0,,"Geduld
Neutralität
Professionalität ",Dass der Roboter keine hilfreichen Tipps gibt und es keine Fortschritte im Übungsprozess gibt ,Bessere Verbesserungsvorschläge für die Schüler*innen,Roboter sollten nur als Ergänzung für die Lehrkräfte sein und keine Ersetzung ,,8.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,,1.0,1.0,Staubsauger,1.0,2.0,25.0,2.0,2.0,3.0,,1.0,12.0,5.0,1.0,,3.0,,4.0,1.0,2.0,13.0,-9.0,5.0,5.0,4.0,5.0,6.0,5.0,6.0,6.0,6.0,5.0,6.0,4.0,5.0,5.0,6.0,4.0,5.0,5.0,1,90,314.0,88.0,38.0,337.0,183.0,480.0,200.0,38.0,1601,,2025-06-07 21:10:00,,1,0,9,9,2,1,0.5
368,,,base,interview,eng,2025-06-08 00:53:53,3.0,3.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,4.0,3.0,4.0,4.0,2.0,6.0,5.0,4.0,1.0,2.0,5.0,3.0,3.0,6.0,5.0,4.0,5.0,1.0,4.0,1.0,3.0,3.0,5.0,3.0,6.0,3.0,1.0,3.0,1.0,3.0,3.0,3.0,3.0,4.0,3.0,1.0,6.0,1.0,,4.0,,2.0,,"Less pressure from non direct human review while training, unbiased evaluation ","Loss of human interaction, no room for artistic interpretation ",If it is a more accessible option than a regular teacher,"If a human teacher is able to fill this role full time, artistic practices require a sensitivity only living beings can share",,5.0,1.0,2.0,1.0,2.0,1.0,2.0,2.0,1.0,2.0,1.0,1.0,,1.0,2.0,,2.0,2.0,23.0,2.0,2.0,4.0,,1.0,4.0,12.0,1.0,,3.0,,1.0,1.0,2.0,19.0,-9.0,5.0,5.0,5.0,5.0,4.0,4.0,5.0,4.0,4.0,2.0,2.0,3.0,5.0,4.0,4.0,2.0,4.0,5.0,1,13,97.0,106.0,62.0,241.0,185.0,310.0,85.0,8.0,1022,,2025-06-08 01:12:23,,1,0,9,9,4,1,0.93
380,,,base,interview,ger,2025-06-08 11:01:45,4.0,4.0,4.0,3.0,3.0,6.0,2.0,4.0,5.0,2.0,3.0,3.0,6.0,2.0,2.0,3.0,6.0,1.0,2.0,6.0,5.0,6.0,5.0,5.0,5.0,5.0,3.0,5.0,5.0,3.0,1.0,4.0,2.0,4.0,4.0,4.0,2.0,4.0,3.0,4.0,3.0,4.0,2.0,3.0,4.0,1.0,6.0,1.0,,3.0,,3.0,,Effektiveres Üben,Unausgereifte Technik,Effektiveres Üben,Unausgereifte Technik,,9.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,,1.0,1.0,Den Roboter des Roboterclubs Aachen und Lego Mindstorms Roboter,2.0,2.0,26.0,2.0,2.0,5.0,,1.0,8.0,4.0,1.0,,3.0,,4.0,4.0,3.0,,-9.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,1,36,339.0,489.0,118.0,672.0,662.0,183.0,179.0,36.0,1064,,2025-06-08 11:47:00,,1,0,9,9,3,1,0.47
385,,,base,interview,ger,2025-06-08 12:08:23,4.0,3.0,4.0,5.0,1.0,6.0,1.0,1.0,5.0,3.0,4.0,2.0,3.0,4.0,3.0,3.0,5.0,3.0,3.0,4.0,3.0,5.0,4.0,4.0,4.0,4.0,3.0,4.0,3.0,3.0,2.0,4.0,3.0,4.0,3.0,4.0,4.0,4.0,3.0,4.0,3.0,5.0,4.0,4.0,3.0,1.0,6.0,1.0,,4.0,,2.0,,Personaleinsparung,Personaleinsparung,Motivation der Kinder,Menschlicher Kontakt,,9.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,,1.0,1.0,,2.0,1.0,26.0,2.0,2.0,5.0,,1.0,7.0,5.0,1.0,,3.0,,4.0,4.0,2.0,20.0,-9.0,5.0,3.0,4.0,5.0,5.0,5.0,6.0,5.0,4.0,4.0,5.0,4.0,6.0,5.0,5.0,4.0,5.0,5.0,1,18,168.0,27.0,28.0,149.0,146.0,117.0,83.0,34.0,747,,2025-06-08 12:21:13,,1,0,9,9,4,1,1.13
386,,,base,interview,ger,2025-06-08 12:11:30,3.0,3.0,5.0,6.0,6.0,6.0,3.0,2.0,1.0,3.0,1.0,4.0,5.0,5.0,5.0,5.0,6.0,1.0,3.0,3.0,4.0,3.0,6.0,6.0,5.0,6.0,3.0,4.0,2.0,3.0,2.0,5.0,2.0,4.0,6.0,6.0,3.0,5.0,3.0,5.0,1.0,6.0,4.0,4.0,5.0,1.0,6.0,1.0,,3.0,,2.0,,"Ein Roboter kann das Spielen/Singen der Kinder quantitativ messen und bewerten. Dadurch kann der Roboter Probleme bei den grundliegenden Techniken, sowie Taktgefühl und Tonsicherheit leicht erkennen und korrigieren.","Musik hat sehr viele subjektive Aspekte, oft kann ein Stück das perfekt gespielt wird klinisch und kalt klingen. Ein Roboter könnte Probleme haben den subjektiven Einfluss von Emotionen auf die Musik zu vermitteln.","Das A und O beim Erlernen eines neuen Instruments sind Wiederholung und Disziplin. Ein Roboter bietet viele Möglichkeiten, repetitive Übungsaufgaben durch Echtzeit Feedback interessant zu gestalten und an den Fortschritt des Kindes anzupassen.","Musik ist eine künstlerische Ausdrucksform, die zwar auf festen Regeln und Techniken aufbaut, aber im fortschrittlichen Bereich von menschlicher Subjektivität profitiert.",,9.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,,1.0,1.0,Fünf Achsen CNC Fertigungszentrum ,1.0,3.0,23.0,2.0,2.0,3.0,,1.0,8.0,4.0,3.0,Instrumental und Gesangsunterricht ,1.0,,4.0,1.0,2.0,15.0,-9.0,6.0,6.0,6.0,5.0,5.0,6.0,6.0,6.0,6.0,5.0,6.0,4.0,6.0,4.0,4.0,4.0,5.0,6.0,1,29,230.0,298.0,102.0,417.0,338.0,1892.0,193.0,20.0,1684,,2025-06-08 13:10:09,,1,0,9,9,3,1,0.4
390,,,base,interview,ger,2025-06-08 12:46:26,4.0,5.0,4.0,6.0,6.0,6.0,2.0,3.0,2.0,2.0,4.0,5.0,5.0,6.0,6.0,3.0,6.0,1.0,4.0,3.0,6.0,3.0,4.0,4.0,6.0,4.0,3.0,4.0,4.0,3.0,3.0,4.0,3.0,4.0,2.0,4.0,4.0,4.0,3.0,5.0,3.0,3.0,4.0,3.0,4.0,1.0,6.0,1.0,,5.0,"Unterschiedliche Formen. z.B.: 1. Einen Bildschirm mit einer animierten Figur (wie bei Duolingo) und einen (oder mehrere) Roboterarm dazu, um Dinge vorzumachen. 2. Einen komplett humanoiden Roboter mit Stimme und Gesicht. 3. Einen interaktives Klavier oder sowas.",3.0,," - Die individuelle Einsetzbarkeit eines Roboters.
- Die Entlastung von Lehrkräften.
- Die Entzerrung des Unterrichts. 
- Die Anpassbarkeit auf individuelle Bedürfnisse.
- Das Ausgleichen des Lehrkräftemangels durch die Unterstützung der vorhandenen Lehrkräfte."," - Juristische Probleme in Bezug auf Fehler der Roboter.
- Verletzungsgefahr für Lernende bei fehlerhaften beweglichen Robotern.
- Widerstände von Lehrenden, wenn Roboter aus sich der Lehrkräfte zu viel ihrer Arbeit übernehmen.
- Die möglicherweise trügerische Einsicht, Lehrkräfte würden durch Roboter vollständig ersetzbar."," - Die Leistung der Kinder könnte enorm profitieren.
- Durch die Entlastung der Lehrkräfte bei der Lehre der Grundlagen, die problemlos von Robotern mitgelehrt werden können, können sich diese auf speziellere Anliegen der Kinder einlassen und besonders interessierte Kinder unterstützen."," - Wenn Roboter nur eingesetzt werden um vermeintlich Kosten zu sparen und durch sie Lehrkräfte vollständig ersetzt werden sollen.
- Falls die Roboter nicht zuverlässig funktionieren könnte das sehr negative Konsequenzen auf die Kinder haben. Sowohl in bezug auf ihre körperliche unversehrtheit als auch auf ihre Lernmotivation."," - Mitunter war es schwierig auf einer Zustimmungsskala bezug auf Aussagen der Form: ""Roboter können ..."" zu nehmen, weil nicht klar war, um welche Modalität (können, sollen, müssen) es sich im Einzelnen handelt.",9.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,,1.0,1.0,"Ein humanoider Roboter namens ""Pepper"", damals im einsatz von Bertelsmann. Der Roboter hatte ein Touch-interface, über das er Aufgaben entgegennahm.",2.0,2.0,21.0,4.0,2.0,3.0,,1.0,10.0,4.0,1.0,,3.0,,1.0,1.0,2.0,7.0,-9.0,5.0,3.0,3.0,2.0,5.0,4.0,4.0,4.0,4.0,2.0,3.0,2.0,2.0,3.0,4.0,3.0,4.0,4.0,1,64,201.0,213.0,77.0,352.0,376.0,1171.0,118.0,14.0,1557,,2025-06-08 13:29:32,,1,0,9,9,2,0,0.46
